main,gyear,count_us,count_for,totpool_pre_14,totpool_pre_58,totpool_pre_9p,totpool_ind14,totpool_ind58,totpool_ind9p,totpool_ind912,totpool_ind1316,totpool_ind17p,totpool_ind1720,totpool_ind2124,totpool_ind25p,totpool_pre_ind14,totpool_pre_ind58,totpool_pre_ind9p,totpool_ind15,totpool_ind610,totpool_ind1115,totpool_ind16p,totpat_2070,totpat_2032,dispat_ger_2070,dispat_ger_2032,dispat_aus_2070,dispat_aus_2032,uspat_ger_2070,uspat_ger_2032,uspat_aus_2070,uspat_aus_2032,class_age,class_age2,pre1933_germanclass,treat_us,treat_int_us,treat_dis,treat_int_dis,treat_us_pre33,treat_int_us_pre33,treat_dis_pre33,treat_int_dis_pre33,treat_pre33,count_us_Wcit,count_for_Wcit
012,1929,414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,93,8649,1,0,0,0,0,0,0,0,0,0,389,2
012,1930,349,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,94,8836,1,0,0,0,0,0,0,0,0,0,299,2
012,1931,280,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,95,9025,1,0,0,0,0,0,0,0,0,0,387,0
012,1932,360,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,96,9216,1,0,0,0,0,0,0,0,0,0,414,0
012,1933,316,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,97,9409,1,0,0,1,1,0,0,1,1,1,444,0
012,1934,327,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,98,9604,1,0,0,1,1,0,0,1,1,1,587,2
012,1935,376,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,99,9801,1,0,0,1,1,0,0,1,1,1,542,0
012,1936,409,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,100,10000,1,0,0,1,1,0,0,1,1,1,619,0
012,1937,375,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,101,10201,1,0,0,1,1,0,0,1,1,1,511,0
012,1938,313,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,102,10404,1,0,0,1,1,0,0,1,1,1,535,0
012,1939,341,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,103,10609,1,0,0,1,1,0,0,1,1,1,499,0
012,1940,299,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,104,10816,1,0,0,1,1,0,0,1,1,1,478,0
012,1941,306,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,105,11025,1,0,0,1,1,0,0,1,1,1,637,1
012,1942,254,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,106,11236,1,0,0,1,1,0,0,1,1,1,448,0
012,1943,218,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,107,11449,1,0,0,1,1,0,0,1,1,1,438,0
012,1944,155,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,108,11664,1,0,0,1,1,0,0,1,1,1,299,0
012,1945,138,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,109,11881,1,0,0,1,1,0,0,1,1,1,280,0
012,1946,125,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,110,12100,1,0,0,1,1,0,0,1,1,1,303,0
012,1947,142,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,111,12321,1,0,0,1,1,0,0,1,1,1,329,0
012,1948,143,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,112,12544,1,0,0,1,1,0,0,1,1,1,257,0
012,1949,183,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,113,12769,1,0,0,1,1,0,0,1,1,1,347,0
012,1950,131,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,114,12996,1,0,0,1,1,0,0,1,1,1,249,0
012,1951,146,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,115,13225,1,0,0,1,1,0,0,1,1,1,333,0
012,1952,141,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,116,13456,1,0,0,1,1,0,0,1,1,1,333,0
012,1953,149,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,117,13689,1,0,0,1,1,0,0,1,1,1,233,1
012,1954,102,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,118,13924,1,0,0,1,1,0,0,1,1,1,201,0
012,1955,109,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,119,14161,1,0,0,1,1,0,0,1,1,1,217,0
012,1956,129,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,120,14400,1,0,0,1,1,0,0,1,1,1,222,1
012,1957,78,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,121,14641,1,0,0,1,1,0,0,1,1,1,191,0
012,1958,54,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,122,14884,1,0,0,1,1,0,0,1,1,1,83,0
012,1959,107,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,123,15129,1,0,0,1,1,0,0,1,1,1,256,0
012,1960,76,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,124,15376,1,0,0,1,1,0,0,1,1,1,289,2
